,Features,F_Values,P_values
3,Fico_Average,3100.7244445881524,0.0
9,Loan.Length,438.2678542671456,8.536924101000498e-90
0,Amount.Requested,250.67465313304518,7.06795949456296e-54
1,Debt.To.Income.Ratio,82.46990636011493,2.122468246723106e-19
8,Inquiries.in.the.Last.6.Months,81.19374010052641,3.966140646738943e-19
11,Loan.Purpose_debt_consolidation,45.3726615624724,2.014569726028587e-11
15,Loan.Purpose_major_purchase,31.624958318616574,2.078117961092545e-08
13,Loan.Purpose_home_improvement,24.09759739517842,9.747763181650427e-07
7,Home.Ownership_RENT,18.61676223234894,1.660250249040332e-05
25,Revolving.CREDIT.Balance,16.004991420811663,6.501218386503623e-05
24,Open.CREDIT.Lines,11.71818815168393,0.0006288927545395519
16,Loan.Purpose_medical,5.121913315946252,0.023711042328766897
12,Loan.Purpose_educational,3.364162854835718,0.06674832687079024
2,Employment.Length,3.246548023419242,0.07169457194035528
5,Home.Ownership_OTHER,2.6286584622857205,0.10507655980713522
19,Loan.Purpose_renewable_energy,2.486035414176282,0.11498735866393843
4,Home.Ownership_NONE,2.296030054185903,0.12983165777822517
22,Loan.Purpose_wedding,1.7683011116070797,0.18371387912254022
21,Loan.Purpose_vacation,1.5769208997221873,0.20932221302465778
23,Monthly.Income,0.5069666263696386,0.47652142764340055
6,Home.Ownership_OWN,0.471656492261572,0.4922898365262697
20,Loan.Purpose_small_business,0.31881029137307726,0.5723741915116323
17,Loan.Purpose_moving,0.22811537309653554,0.6329665728086915
18,Loan.Purpose_other,0.15376376293326652,0.6949976619130107
10,Loan.Purpose_credit_card,0.06380519312531875,0.8006005095627888
14,Loan.Purpose_house,0.025243374403074965,0.8737749724286022
